level,statement,option_A,option_B,option_C,option_D,answer,time
W>L (*3),「鱟」在生物學上的分類？,節肢動物門,腔腸動物門,軟體動物門,棘皮動物門,A,10
W>L (*1),日本名著的明治神宮，位於？,山形,東京,神戶,大阪,B,10
W=L (*2),電影少林足球中，大師兄的武功？,鬼影擒拿手,無堅不摧鐵頭功,金鐘罩鐵布衫,風火地堂腿,B,10
W>L (*2),世界最大的貓科動物？,孟加拉虎,西伯利亞虎,非洲獅,美洲豹,B,10
W>L (*3),奧運射箭項目的箭靶有幾個得分區？ ,8,5,10,6,C,10
W=L (*3),一個圓形對折三次，請問分成幾等份?,4,8,2,6,B,20
W=L (*1),「遊子吟」「慈母手中線，遊子身上衣」出自何者？,李白,韋應物, 孟浩然,孟郊,D,10
W<L (*3),近年來被刪除在太陽系外的行星是？ ,海王星, 土星,冥王星,天王星,C,10
W<L (*2),「大蘋果」是哪一個城市的名稱？,巴黎,紐約 ,東京,香港,B,10
W<L (*1),哆啦A夢最喜愛的食物是？,鯛魚燒 ,銅鑼燒 ,豬血糕 ,老鼠,B,10
W>L (*3),大雄的玄孫全名？,野比大雄,野比小雄,野比世子,野比世修,D,10
W<L (*2),以下哪一部戲5566成員並未參與演出？,流星花園,西街少年,紫禁之巔,薰衣草,A,15
W<L (*3),惡作劇之吻2中，湘琴得了什麼病？,大頭症,癌症,強迫症,夜盲症,D,15
W<L (*3),陳喬恩在命中注定我愛你裡，住的島叫什麼？,將軍島,薑母島,綠島,龜山島,B,10
W>L (*3),周星馳」此名字出自於哪一部古籍？,蘭亭集序,滕王閣序,滿江紅,出師表,B,20
W>L (*3),下列哪一句台詞並非出自於《少林足球》？,憑你的智慧，我唬得了你嗎？,你回火星吧，地球是很危險的。,做人如果沒夢想，跟鹹魚有什麼分別？,我打你應該，不打你悲哀,A,20
W=L (*2),下列哪個隊伍沒有出現在《少林足球》？,龍虎少年隊,玉面雙飛龍,豆腐金剛隊,魔鬼隊,A,10
W>L (*1),於《九品芝麻官》電影中，師爺的名字是什麼？,包有為,包龍星,包不同,包大人,A,10
W=L (*3),五月天的名字哪裡來的？,團員學生時期的綽號,團員都在五月出生,團員BBS上的代號,喜歡用的衛生紙品牌,C,20
W=L (*1),五月天的團長是誰？,阿信,怪獸,冠佑,瑪莎,B,20
W>L (*2),下面哪一個名字不是哈利波特的孩子？,詹姆·天狼星·波特(James Sirius Potter),莉莉·露娜·波特(Lily Luna Potter),詹姆·波特(James Potter),詹姆·哈利·波特(James Harry Potter),C,20
W>L (*1),籃球術語中的「wide-open」是指什麼？,擦板投籃,空心入網,外圍空檔,遠距投籃,C,20
W=L (*1),這件事是眾所皆知的，就「BJ4」了！,沒事,不解釋,無所事事,大事,B,20
W>L (*2),下列何者並非「PTT三大神器」之一？,Nokia 3310,5566專輯,大同電鍋,台科大學生證,B,20
W<L (*2),臺灣總面積是幾平方公里？,"36,000平方公里","35,000平方公里","34,000平方公里","33,000平方公里",A,10
W=L (*2),臺灣國旗有三色，各為一個象徵。以下哪個不包刮在內？,平等,自由,博愛,環保,D,10
W<L (*1),福爾摩沙（Formosa）是16世紀哪國人看到臺灣所發出的讚嘆？,西班牙人,荷蘭人,葡萄牙人,沒有這個人,C,10
W<L (*3),臺灣最大面積的行政區是哪一個縣市？,新北市,屏東縣,台北市,花蓮縣,D,10
W<L (*2),臺灣原住民是屬於哪一個語系？,南島語系,東島語系,西島語系,北島語系,A,10
W=L (*1),誰是第一位領臺灣身分證的國民？,蔣中正,孫中山,陳儀,蔣經國,A,10
W>L (*1),為何原子筆蓋頭有個洞？,作為原子筆的辨識,防止孩子誤食窒息,不讓筆漏水,出貨檢查的標記,B,20
W=L (*3),白天吹的海風是從哪裡吹向哪裡？,從大海吹向陸地,從大海吹向大海,從大海吹向天空,以上皆非,A,20
W>L (*2),台北捷運開放周末及國定假日旅客可以攜帶自行車進入，以下哪個捷運站是例外？,淡水站,台北車站,板橋車站,公館站,B,20
W>L (*1),在商店門口看到的招財貓，有的舉右手，有的舉左手，請問舉哪一隻手才是招財？,左手,右手,沒有差別都一樣,雙手,B,10
W=L (*3),"巴哈(Bach, Johann Sabastian)是著名巴洛克時期的作曲家，又被譽為音樂之__？",音樂之「神」,音樂之「父」,音樂之「子」,音樂之「師」,B,20
W>L (*3),These schemes are now 「anachronistic」.,Up-to-date,Out-of-date,Wrong,New,B,20
W>L (*3),Marina was 「assiduous」 in taking care of the most minute details.,Persistent,Lazy,Lethargic,Enthusiastic,A,20
W>L (*3),Rob had correctly predicted the lottery result. I’m amazed at how 「clairvoyant」 he is.,Logical,Sharp,Being able to foresee the future,Quick thinker,C,20
W>L (*3),Charles knows smoking is 「deleterious」 to his health.,Toxic,Fatal,Poisonous,Harmful,D,20
W>L (*3),以下哪部戲劇的作者是明朝人？,《漢宮秋》,《趙氏孤兒》,《嬌紅記》,《精忠譜》,C,10
W>L (*1),四大名亭中的陶然亭是因為誰的詩句得名的？,歐陽修,白居易,陶淵明,杜牧,B,10
W<L (*1),人體最大的解毒器官是?,胃,腎,肝,脾,C,10
W=L (*3),古人所謂“黃道”是哪種天體運行周年的軌道？,金星,月亮,太陽,地球,C,10
W<L (*3),以下哪種動物是軟體動物？,蝸牛,蠶,變形蟲,水蛭,Ａ,10
W>L (*3),下面提供的幾種識別礦泉水真假的方法哪一種是錯誤的？,在日光下無色透明,折光率較自來水大,礦化度較自來水大,同溫下吸熱速度快於自來水,D,20
W=L (*2),下列人物中，哪一個是羅馬神話中的神？,雅典娜,邱比特,蚩尤,黑天,B,10
W=L (*1),國際上用“K”表示含金量，18K表示含金量為?,90%,83%,75%,50%,C,10
W<L (*2),“變臉”是哪個劇種的絕活？,京劇,豫劇,粵劇,川劇,D,10
W>L (*2),汽車在什麼狀態下排放的一氧化碳最多?,高速行駛中,速行駛低速行駛,停車狀態,開發動機,D,20
W>L (*2),人的五感中那個感覺反應最快？,嗅覺,視覺,聽覺,味覺,D,10
W>L (*3),世界上最早的銀行始建於哪個國家？,義大利,美國,法國,瑞士,A,10
W>L (*1),目前觀測到的距地球最近的一顆恆星位於,織女座,仙女座,半人馬座,大熊座,C,10
W=L (*2),哪種病人不宜飲茶?,心血管疾病,急性胃腸炎,潰瘍病　,腎衰竭,C,10
W<L (*2),蕭敬騰知名歌曲中「如果，王子的新衣，可以讓我挑選」的下一句是？,我的腹肌會被看見,我的動脈會被看見,我的結石會被看見,我的真心會被看見,B,10
W=L (*3),小丸子爺爺的全名叫什麼?,櫻桃貴,春野櫻,櫻友藏,櫻廣志,C,10
W<L (*2),"請問""蹦迪""代表的場所是什麼",夜店,餐廳,遊樂園,溜冰場,A,10
W>L (*2),"最近網路上很紅的""時間管理大師""是下列哪一位?",羅百吉,羅志祥,羅大佑,羅比威廉斯,B,10
W<L (*2),下列哪一位女藝人最矮?,楊丞琳,張鈞甯,蔡依林,田馥甄,C,10
W<L (*3),"卡通""米老鼠""的生日是幾月幾號",8月18日,11月18日,9月18日,10月18日,B,10
W<L (*3),西洋調性音樂中，三個升記號為哪個大調,A 大調,B大調,C小調,D大調,A,10
W<L (*3),莫札特屬於哪個樂派,搖滾樂派,古典樂派,浪漫樂派,巴洛克樂派,B,10
W<L (*1),log(2)+log(5) 的值與下列何者最接近?,0.4,0.6,0.8,1,D,15
W>L (*2),下列何止不是弦樂四重奏的樂器?,小提琴,低音大提琴,中提琴,大提琴,B,10
W>L (*3),凍瘡是由於皮膚哪一部分受損而引起的?,毛囊汗腺,豎毛,肌毛,細血管,D,15
W>L (*2),被譽為喀斯特的一顆綠色明珠的茂蘭自然保護區位於___?,貴州省,雲南省,廣西省,西藏自治區,A,10
W<L (*2),2010-2011年NBA賽季中，最終由哪支隊奪得總冠軍？,Miami Heat,Los Angeles Lakers,Dallas Mavericks,Oklahoma City Thunder,C,10
W=L (*3),茶葉加工中不經過發酵的是哪一類茶？,紅茶,綠茶,烏龍茶,菊花茶,B,10
W=L (*1),NBA中的籃球員Michael Jordan的綽號為？,籃球之王,籃球天王,籃球之神,籃球之星,C,10
W>L (*1),下列哪一些人未贏過NBA的MVP獎項?,James Harden,Michael Jordan,Giannis Antetokounmpo,Kawhi Leonard,D,15
W<L (*3),成人牙齒共___顆？,32,36,28,30,A,20
W<L (*1),在五四新文學史上，第一部個人新詩集是?,郭沫若的《女神》,胡適的《嘗試集》,俞平伯的《冬夜》,康白情的《草兒》,B,10
W>L (*3),NBA歷史中，曾在同賽季中獲得MVP又獲得FMVP的球員為何?,Kobe Bryant,Kawhi Leonard,Stephen Curry,Lebron James,D,10
W=L (*2),世界上最大的宮殿為何?,故宮,白宮,愛麗舍宮,克裡姆林宮,A,10